,Venue,City,State
167,Panda Express,Henderson, Nevada
168,Arby's,Garland, Texas
169,Other,Johnson City, Tennessee
170,Panda Express,Renton, Washington
171,Other,Little Rock, Arkansas
172,Other,Santa Fe, New Mexico
173,Popeyes,Fairfax, Virginia
174,Shari's,Meridian, Idaho
175,Subway,Ormond Beach, Florida
176,Costco,Red Deer, Alberta
177,Shake Shack,Detroit, Michigan
178,Charleys Philly Steaks,Columbus, Ohio
179,Wendy's,Greenwood Village, Colorado
180,Subway,Hamilton, Ontario
181,Long John Silver's,Stillwater, Oklahoma
182,A&amp;W,Monroe, Michigan
183,Other,Wichita, Kansas
184,Whole Foods Market,Jericho, New York
185,Burger King,Quincy, Massachusetts
186,Other,Rohnert Park, California
187,Other,, 
188,Subway,Stanhope Gardens, New South Wales
189,Sweetgreen,Philadelphia, Pennsylvania
190,Applebee's,Baldwin, New York
191,Cracker Barrel,Dickson, Tennessee
192,Taco Bell,Chandler, Arizona
193,Other,, New York
194,IHOP,Northglenn, Colorado
195,Chipotle Mexican Grill,Hillsboro, Oregon
196,Popeyes,Toronto, Ontario
197,Domino's Pizza,Louisville, Kentucky
198,Chipotle Mexican Grill,Woodbridge, Virginia
199,Raising Canes,Glendale, Arizona
200,The Cheesecake Factory,Austin, Texas
201,Dunkin donuts,Chicago, Illinois
202,Chipotle Mexican Grill,Wilmington, North Carolina
203,Chick-Fil-A,Irving, Texas
204,Costco,Frederick, Maryland
205,Zaxby's,Commerce, Georgia
206,Domino's Pizza,Kalamazoo, Michigan
207,Subway,Mondovi, Wisconsin
208,Domino's Pizza,Warrensburg, Missouri
209,Other,Ann Arbor, Michigan
210,Whataburger,Katy, Texas
211,Pret a Manger,Chicago, Illinois
212,Dunkin donuts,Smyrna, Georgia
213,KFC,, County Limerick
214,Subway,London, Ontario
215,Bob Evans,Chillicothe, Ohio
216,Other,Los Angeles, California
217,McDonalds,Bergenfield, New Jersey
218,Safeway,Keizer, Oregon
219,Costco,Gilbert, Arizona
220,Other,Detroit, Michigan
221,Arby's,Warner Robins, Georgia
222,Wendy's,St. Catharines, Ontario
223,Denny's,Orlando, Florida
224,KFC,, Scotland
225,Other,Cape Town, Western Cape
226,Wendy's,Chicago, Illinois
227,Qdoba,Creve Coeur, Missouri
228,Taco Bell,Kirksville, Missouri
229,Popeyes,Pelham, Alabama
230,KFC,Marion, Iowa
231,Chipotle Mexican Grill,Goleta, California
232,Greggs,, England
233,Dairy Queen,Wichita, Kansas
234,Chipotle Mexican Grill,Seattle, Washington
235,Subway,Miami, Florida
236,Olive Garden,Pensacola, Florida
237,Wendy's,Hadley, Massachusetts
238,Other,Fairlawn, Ohio
239,KFC,, Vermont
240,Subway,Baldwin, Michigan
241,Chipotle Mexican Grill,Lake Oswego, Oregon
242,Jack in the Box,Modesto, California
243,Jack in the Box,Modesto, California
244,The Cheesecake Factory,Happy Valley, Oregon
245,Buffalo wild wings,Fishers, Indiana
246,Starbucks,Denver, Colorado
247,Dunkin donuts,Huntersville, North Carolina
248,Little Caesars Pizza,Davison, Michigan
249,Sonic,Chandler, Oklahoma
250,Olive Garden,Vestal, New York
251,McDonalds,Fuquay Varina, North Carolina
252,McDonalds,Birmingham, Alabama
253,Subway,Neenah, Wisconsin
254,Other,, England
255,McDonalds,Auburndale, Florida
256,Five Guys,Cary, North Carolina
257,Subway,, England
258,McDonalds,Midland, Ontario
259,Wendy's,Chula Vista, California
260,Little Caesars Pizza,Hutto, Texas
261,Chipotle Mexican Grill,West Hartford, Connecticut
262,Panda Express,Frisco, Texas
263,Domino's Pizza,Stoke-on-Trent, England
264,Popeyes,Honolulu, Hawaii
265,Raising Canes,Centerville, Ohio
266,Yard House,Pasadena, California
267,Panda Express,Antioch, California
268,Tijuana Flats,Lutz, Florida
269,Whole Foods Market,Los Angeles, California
270,Other,Tucson, Arizona
271,Pizza Hut,Fairburn, GA
272,Walmart,South Jordan, Utah
273,Qdoba,Louisville, Kentucky
274,Chick-Fil-A,Brownsville, Texas
275,Costco,Durham, North Carolina
276,Other,Punta Cana, La Altagracia
277,McDonalds,Cumming, Georgia
278,McDonalds,Taylor, Michigan
279,Sonic,Winter Haven, Florida
280,Burger King,Tarpon Springs, Florida
281,McDonalds,Highlands Ranch, Colorado
282,McDonalds,Dearborn Heights, Michigan
283,Chipotle Mexican Grill,Scottsdale, Arizona
284,Other,Milwaukee, Wisconsin
285,Taco Bell,Covington, Washington
286,Chipotle Mexican Grill,Marysville, Ohio
287,Costco,Kansas City, Missouri
288,Subway,New Westminster, British Columbia
289,Whole Foods Market,Virginia Beach, Virginia
290,Chipotle Mexican Grill,Folsom, California
291,Burger King,Fresno, California
292,Applebee's,La Crosse, Virginia
293,Sweet Tomatoes,Bradenton, Florida
294,The Melting Pot,Portland, Oregon
295,Other,Plano, Texas
296,McDonalds,Junction City, Kansas
297,Buffalo wild wings,Warrensburg, Missouri
298,Taco Bell,Chicago, Illinois
299,Chipotle Mexican Grill,New York, New York
300,Other,Costa Mesa, California
301,Taco Bell,Mishawaka, Indiana
302,Taco Bell,Hicksville, New York
303,Chipotle Mexican Grill,Dallas, Texas
304,Other,Salt Lake City, Utah
305,Other,Las Vegas, Nevada
306,Arby's,Spring, Texas
307,Sonic,Ville Platte, Louisiana
308,Chipotle Mexican Grill,Dallas, Texas
309,Other,Fort Collins, Colorado
310,Chipotle Mexican Grill,Pasadena, California
311,Chick-Fil-A,Bryan, Texas
312,Papa John's,Kent, Ohio
313,Taco Bell,Las Cruces, New Mexico
314,McDonalds,Saugerties, New York
315,Chipotle Mexican Grill,El Paso, Texas
316,Disneyland,Anaheim, California
317,Jack in the Box,Corona, California
318,Chipotle Mexican Grill,Orlando, Florida
319,Taco Bell,Dora, Alabama
320,Wendy's,Greenville, Michigan
321,Other,Immokalee, Florida
322,Chipotle Mexican Grill,Arvada, Colorado
323,McDonalds,Tompkinsville, Kentucky
324,Little Caesars Pizza,West Jordan, Utah
325,Mellow mushroom,Mount Pleasant, South Carolina
326,Moe's Southwest grill,Evansville, Indiana
327,Wendy's,Rancho Mirage, California
328,McDonalds,Denver, Colorado
329,Chipotle Mexican Grill,Hopkins, Minnesota
330,Chipotle Mexican Grill,Pasadena, California
331,Burger King,New York, New York
332,Other,Windsor, Ontario
333,Target,Bristol, Virginia
334,Domino's Pizza,Maryville, Tennessee
335,Sonic,Grove City, Ohio
336,Popeyes,Richmond, Virginia
337,Little Caesars Pizza,Charlotte, North Carolina
338,Other,Haddonfield, New Jersey
339,Delta Airlines,Houston, Texas
340,Other,Fairport, New York
341,Taco Bell,Lynchburg, Virginia
342,Buffalo wild wings,Champaign, Illinois
343,Applebee's,Federal Way, Washington
344,Domino's Pizza,Wahiawa, Hawaii
345,Other,Papendrecht, Zuid-Holland
346,Whole Foods Market,Exton, Pennsylvania
347,Wendy's,Bushnell, Florida
348,Subway,Hamilton, Ontario
349,McDonalds,Toledo, Ohio
350,Other,Singapore, 
351,Starbucks,Las Vegas, Nevada
352,Jack in the Box,, 
353,Chick-Fil-A,Gilbert, Arizona
354,Trader Joe's,Santa Clarita, California
355,Carl's Jr,West Valley City, Utah
